date,单位净值,复权单位净值,累计单位净值,close,涨跌幅(%),申购状态
2013-09-30,1.6990,2.2949,2.2420,1.6970,0.00,开放申购|开放赎回
2013-10-08,1.7150,2.3165,2.2610,1.7170,0.94,开放申购|开放赎回
2013-10-09,1.7240,2.3287,2.2720,1.7230,0.52,开放申购|开放赎回
2013-10-10,1.6920,2.2855,2.2340,1.6940,-1.86,开放申购|开放赎回
2013-10-11,1.7240,2.3287,2.2720,1.7250,1.89,开放申购|开放赎回
2013-10-14,1.7170,2.3192,2.2640,1.7180,-0.41,开放申购|开放赎回
2013-10-15,1.7110,2.3111,2.2560,1.7100,-0.35,开放申购|开放赎回
2013-10-16,1.6880,2.2801,2.2290,1.6890,-1.34,开放申购|开放赎回
2013-10-17,1.6810,2.2706,2.2210,1.6810,-0.41,开放申购|开放赎回
2013-10-18,1.6910,2.2841,2.2330,1.6930,0.59,开放申购|开放赎回
2013-10-21,1.7120,2.3125,2.2580,1.7140,1.24,开放申购|开放赎回
2013-10-22,1.6940,2.2882,2.2360,1.6940,-1.05,开放申购|开放赎回
2013-10-23,1.6920,2.2855,2.2340,1.6930,-0.12,开放申购|开放赎回
2013-10-24,1.6750,2.2625,2.2140,1.6740,-1.00,开放申购|开放赎回
2013-10-25,1.6650,2.2490,2.2020,1.6630,-0.60,开放申购|开放赎回
2013-10-28,1.6640,2.2477,2.2010,1.6650,-0.06,开放申购|开放赎回
2013-10-29,1.6880,2.2801,2.2290,1.6860,1.44,开放申购|开放赎回
2013-10-30,1.7080,2.3071,2.2530,1.7080,1.18,开放申购|开放赎回
2013-10-31,1.6850,2.2760,2.2260,1.6850,-1.35,开放申购|开放赎回
2013-11-01,1.6990,2.2949,2.2420,1.7000,0.83,开放申购|开放赎回
2013-11-04,1.6930,2.2868,2.2350,1.6930,-0.35,开放申购|开放赎回
2013-11-05,1.6870,2.2787,2.2280,1.6870,-0.35,开放申购|开放赎回
2013-11-06,1.6680,2.2531,2.2050,1.6690,-1.13,开放申购|开放赎回
2013-11-07,1.6640,2.2477,2.2010,1.6640,-0.24,开放申购|开放赎回
2013-11-08,1.6390,2.2139,2.1710,1.6390,-1.50,开放申购|开放赎回
2013-11-11,1.6430,2.2193,2.1760,1.6410,0.24,开放申购|开放赎回
2013-11-12,1.6630,2.2463,2.2000,1.6630,1.22,开放申购|开放赎回
2013-11-13,1.6200,2.1882,2.1490,1.6210,-2.59,开放申购|开放赎回
2013-11-14,1.6230,2.1923,2.1520,1.6220,0.19,开放申购|开放赎回
2013-11-15,1.6020,2.2370,2.1900,1.6000,2.04,开放申购|开放赎回
2013-11-18,1.6710,2.3333,2.2720,1.6750,4.31,开放申购|开放赎回
2013-11-19,1.6550,2.3110,2.2530,1.6560,-0.96,开放申购|开放赎回
2013-11-20,1.6590,2.3165,2.2580,1.6600,0.24,开放申购|开放赎回
2013-11-21,1.6440,2.2956,2.2400,1.6440,-0.90,开放申购|开放赎回
2013-11-22,1.6380,2.2872,2.2330,1.6390,-0.36,开放申购|开放赎回
2013-11-25,1.6290,2.2747,2.2220,1.6300,-0.55,开放申购|开放赎回
2013-11-26,1.6270,2.2719,2.2200,1.6270,-0.12,开放申购|开放赎回
2013-11-27,1.6440,2.2956,2.2400,1.6430,1.04,开放申购|开放赎回
2013-11-28,1.6600,2.3179,2.2590,1.6590,0.97,开放申购|开放赎回
2013-11-29,1.6560,2.3124,2.2540,1.6560,-0.24,开放申购|开放赎回
2013-12-02,1.6740,2.3375,2.2750,1.6750,1.09,开放申购|开放赎回
2013-12-03,1.6770,2.3417,2.2790,1.6760,0.18,开放申购|开放赎回
2013-12-04,1.6940,2.3654,2.2990,1.6960,1.01,开放申购|开放赎回
2013-12-05,1.6870,2.3556,2.2910,1.6900,-0.41,开放申购|开放赎回
2013-12-06,1.6700,2.3319,2.2710,1.6720,-1.01,开放申购|开放赎回
2013-12-09,1.6660,2.3263,2.2660,1.6660,-0.24,开放申购|开放赎回
2013-12-10,1.6660,2.3263,2.2660,1.6680,0.00,开放申购|开放赎回
2013-12-11,1.6350,2.2830,2.2290,1.6390,-1.86,开放申购|开放赎回
2013-12-12,1.6290,2.2747,2.2220,1.6290,-0.37,开放申购|开放赎回
2013-12-13,1.6240,2.2677,2.2160,1.6270,-0.31,开放申购|开放赎回
2013-12-16,1.6000,2.2342,2.1880,1.6030,-1.48,开放申购|开放赎回
2013-12-17,1.5960,2.2286,2.1830,1.5950,-0.25,开放申购|开放赎回
2013-12-18,1.5980,2.2314,2.1850,1.5990,0.13,开放申购|开放赎回
2013-12-19,1.5790,2.2048,2.1630,1.5810,-1.19,开放申购|开放赎回
2013-12-20,1.5370,2.1462,2.1130,1.5430,-2.66,开放申购|开放赎回
2013-12-23,1.5400,2.1504,2.1170,1.5420,0.20,开放申购|开放赎回
2013-12-24,1.5390,2.1490,2.1160,1.5400,-0.06,开放申购|开放赎回
2013-12-25,1.5470,2.1602,2.1250,1.5460,0.52,开放申购|开放赎回
2013-12-26,1.5250,2.1294,2.0990,1.5270,-1.42,开放申购|开放赎回
2013-12-27,1.5490,2.1629,2.1270,1.5490,1.57,开放申购|开放赎回
2013-12-30,1.5460,2.1588,2.1240,1.5480,-0.19,开放申购|开放赎回
2013-12-31,1.5730,2.1965,2.1560,1.5710,1.75,开放申购|开放赎回
2014-01-02,1.5590,2.1769,2.1390,1.5580,-0.89,开放申购|开放赎回
2014-01-03,1.5340,2.1420,2.1100,1.5350,-1.60,开放申购|开放赎回
2014-01-06,1.5110,2.1099,2.0820,1.5130,-1.50,开放申购|开放赎回
2014-01-07,1.5090,2.1071,2.0800,1.5120,-0.13,开放申购|开放赎回
2014-01-08,1.5130,2.1127,2.0850,1.5130,0.27,开放申购|开放赎回
2014-01-09,1.5020,2.0973,2.0720,1.5030,-0.73,开放申购|开放赎回
