"date","on","1w","2w","1m","3m","6m","9m","1y"
"20151231","1.991","2.355","2.947","3.002","3.0852","3.2","3.25","3.35"
"20151230","1.935","2.352","2.918","3.004","3.0882","3.2","3.25","3.35"
"20151229","1.935","2.352","2.93","3.005","3.0882","3.2","3.25","3.35"
"20151228","1.939","2.354","2.917","3.0065","3.0878","3.2","3.25","3.35"
"20151225","1.934","2.355","2.899","3.004","3.0825","3.2","3.25","3.35"
"20151224","1.924","2.348","2.863","3","3.0774","3.2","3.25","3.35"
"20151223","1.903","2.348","2.824","2.987","3.0735","3.2","3.25","3.35"
"20151222","1.875","2.342","2.769","2.944","3.0611","3.2","3.25","3.35"
"20151221","1.843","2.334","2.741","2.891","3.0551","3.2","3.25","3.3503"
"20151218","1.816","2.318","2.685","2.822","3.0501","3.2","3.25","3.35"
"20151217","1.793","2.299","2.639","2.762","3.0481","3.2","3.25","3.35"
"20151216","1.79","2.301","2.638","2.742","3.0475","3.2","3.25","3.35"
"20151215","1.788","2.299","2.64","2.721","3.051","3.2","3.25","3.35"
"20151214","1.788","2.303","2.64","2.7","3.0461","3.2","3.25","3.35"
"20151211","1.788","2.302","2.642","2.701","3.051","3.2","3.25","3.35"
"20151210","1.789","2.297","2.641","2.701","3.046","3.2","3.25","3.35"
"20151209","1.789","2.294","2.64","2.7","3.047","3.2","3.25","3.35"
"20151208","1.786","2.292","2.641","2.7","3.051","3.2","3.25","3.35"
"20151207","1.784","2.291","2.635","2.7","3.048","3.2","3.25","3.35"
"20151204","1.787","2.293","2.632","2.7","3.043","3.2","3.25","3.35"
"20151203","1.787","2.292","2.636","2.7","3.043","3.2","3.25","3.35"
"20151202","1.786","2.293","2.638","2.7","3.042","3.2","3.25","3.35"
"20151201","1.788","2.294","2.64","2.7","3.047","3.2","3.25","3.35"
"20151130","1.788","2.299","2.639","2.7","3.05","3.2","3.25","3.35"
"20151127","1.786","2.293","2.638","2.7","3.05","3.2","3.25","3.35"
"20151126","1.785","2.289","2.637","2.7","3.05","3.2","3.25","3.3503"
"20151125","1.785","2.286","2.637","2.7","3.05","3.2","3.25","3.35"
"20151124","1.785","2.285","2.637","2.7","3.05","3.2","3.25","3.3503"
"20151123","1.785","2.283","2.633","2.701","3.046","3.2","3.25","3.3503"
"20151120","1.784","2.282","2.623","2.7","3.044","3.198","3.25","3.35"
"20151119","1.785","2.28","2.622","2.698","3.044","3.197","3.25","3.35"
"20151118","1.781","2.279","2.621","2.695","3.0441","3.198","3.25","3.35"
"20151117","1.782","2.278","2.619","2.692","3.04","3.198","3.25","3.35"
